                                                            Autonomous System (AS) Numbers

   Last Updated
           2015-06-11

   Note

 Autonomous System (AS) Numbers are used by various routing protocols. IANA allocates
 AS Numbers to Regional Internet Registries (RIRs). The RIRs further allocate or assign AS
 Numbers to network operators in line with RIR policies. The [five RIRs] are:

 - [AFRINIC]
 - [APNIC]
 - [ARIN]
 - [LACNIC]
 - [RIPE_NCC]

 AS Numbers can be obtained from the registry in your region.

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registries included below

     * 16-bit Autonomous System Numbers
     * 32-bit Autonomous System Numbers

16-bit Autonomous System Numbers

   Registration Procedure(s)

 RIR request to the IANA or IETF Review. Allocated following the Global Policy published at
 [http://www.icann.org/en/resources/policy/global-addressing].

   Reference
           [RFC1930][RFC5398][RFC6996][RFC7249]

   Available Formats
           [IMG]
           CSV

    3837-3838  Assigned by ARIN                                  whois.arin.net
    3839-3840  Assigned by APNIC                                 whois.apnic.net
    3841-3842  Assigned by ARIN                                  whois.arin.net
      3843     Assigned by RIPE NCC                              whois.ripe.net
    3844-3904  Assigned by ARIN                                  whois.arin.net
      3905     Assigned by LACNIC                                whois.lacnic.net
    3906-3916  Assigned by ARIN                                  whois.arin.net
    3917-3918  Assigned by RIPE NCC                              whois.ripe.net
    3919-3928  Assigned by ARIN                                  whois.arin.net
      3929     Assigned by APNIC                                 whois.apnic.net
    3930-3967  Assigned by ARIN                                  whois.arin.net
      3968     Assigned by LACNIC                                whois.lacnic.net
      3969     Assigned by APNIC                                 whois.apnic.net
    3970-3975  Assigned by ARIN                                  whois.arin.net
      3976     Assigned by APNIC                                 whois.apnic.net
    3977-4006  Assigned by ARIN                                  whois.arin.net
      4007     Assigned by APNIC                                 whois.apnic.net
    4008-4039  Assigned by ARIN                                  whois.arin.net
      4040     Assigned by APNIC                                 whois.apnic.net
    4041-4048  Assigned by ARIN                                  whois.arin.net
      4049     Assigned by APNIC                                 whois.apnic.net
    4050-4057  Assigned by ARIN                                  whois.arin.net
      4058     Assigned by APNIC                                 whois.apnic.net
      4059     Assigned by ARIN                                  whois.arin.net
      4060     Assigned by APNIC                                 whois.apnic.net
    4061-4133  Assigned by ARIN                                  whois.arin.net
      4134     Assigned by APNIC                                 whois.apnic.net
    4135-4140  Assigned by ARIN                                  whois.arin.net
      4141     Assigned by LACNIC                                whois.lacnic.net
      4142     Assigned by APNIC                                 whois.apnic.net
