                                                  Language Subtag Registry - Registration Templates

   Last Updated
           2018-11-30

   Registration Procedure(s)

 IESG-Appointed Language Subtag Reviewer

   Reference
           [RFC5646]

   Note

 [RFC5646] defines an IANA-maintained registry of language subtags, which
 is available at [IANA registry language-subtag-registry]. The
 following is the archive of language subtag registration templates.


   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Available Formats
           [IMG]
           CSV

       Type           Subtag              Template            Date
   language      pnk               pnk.txt                 2012-08-27
   language      pnl               pnl.txt                 2013-09-23
   language      pny               pny.txt                 2010-03-25
   language      pod               pod.txt                 2016-06-10
   language      pop               pop.txt                 2013-09-23
   language      ppa               ppa.txt                 2016-06-10
   language      ppl               ppl.txt                 2010-03-24
   language      ppr               ppr.txt                 2013-09-23
   language      prb               prb.txt                 2017-03-03
   language      prf               prf.txt                 2010-03-24
   language      pro               pro.txt                 2008-08-18
   language      prs               prs.txt                 2010-03-24
   language      pry               pry.txt                 2016-06-10
   language      psh               psh.txt                 2015-02-18
   language      psi               psi.txt                 2015-02-18
   language      ptq               ptq.txt                 2014-04-10
   language      puk               puk.txt                 2017-03-03
   language      puz               puz.txt                 2014-03-13
   language      pwi               pwi.txt                 2013-09-23
   language      pys               pys.txt                 2010-03-24
   language      rbk               rbk.txt                 2010-03-24
   language      rbl               rbl.txt                 2010-03-24
   language      rbp               rbp.txt                 2012-08-27
   language      rie               rie.txt                 2017-03-03
   language      rkw               rkw.txt                 2013-09-23
   language      rm                rm.txt                  2010-06-30
   language      rmq               rmq.txt                 2010-03-24
   language      rmr               rmr.txt                 2010-03-24
   language      rna               rna.txt                 2016-06-10
   language      rnr               rnr.txt                 2012-08-27
   language      ro                ro.txt                  2008-11-25
   language      roa               roa.txt                 2009-04-07
   language      rrt               rrt.txt                 2012-08-27
   language      rsi               rsi.txt                 2017-03-03
   language      rsm               rsm.txt                 2016-06-10
   language      rtc               rtc.txt                 2012-08-27
   language      rts               rts.txt                 2015-02-18
   language      rxd               rxd.txt                 2013-09-23
   language      rxw               rxw.txt                 2013-09-23
   language      rzh               rzh.txt                 2016-06-10
   language      sai               sai.txt                 2009-04-07
   language      sap               sap.txt                 2014-03-13
   language      sbf               sbf.txt                 2015-02-18
   language      sca               sca.txt                 2012-08-27
   language      scp               scp.txt                 2018-03-20
   language      sct               sct.txt                 2017-03-03
   language      sem               sem.txt                 2009-04-07
   language      sfe               sfe.txt                 2012-08-27
   language      sgb               sgb.txt                 2010-03-24
   language      sgd               sgd.txt                 2010-03-24
   language      sgj               sgj.txt                 2012-08-27
   language      sgl               sgl.txt                 2010-03-24
   language      sgo               sgo.txt                 2015-02-18
   language      sgs               sgs.txt                 2010-07-26
   language      sgy               sgy.txt                 2010-03-24
   language      sh                sh.txt                  2009-09-09
   language      shd               shd.txt                 2010-03-24
   language      sih               sih.txt                 2013-09-23
   language      sit               sit.txt                 2009-04-07
   language      skc               skc.txt                 2012-08-27
   language      skk               skk.txt                 2017-03-03
   language      skm               skm.txt                 2012-08-27
   language      skr               skr.txt                 2015-02-18
   language      sla               sla.txt                 2009-04-07
   language      smi               smi.txt                 2009-04-07
   language      snh               snh.txt                 2017-03-03
   language      son               son.txt                 2009-01-13
   language      sox               sox.txt                 2012-08-27
   language      spm               spm.txt                 2012-08-27
   language      spn               spn.txt                 2014-03-13
   language      spv               spv.txt                 2012-08-27
   language      sqk               sqk.txt                 2012-08-27
   language      sr                sr.txt                  2018-01-25
   language      srv               srv.txt                 2010-03-24
   language      ssa               ssa.txt                 2009-04-07
   language      sse               sse.txt                 2010-03-24
   language      sty               sty.txt                 2013-09-23
   language      sul               sul.txt                 2010-03-24
   language      sum               sum.txt                 2010-03-24
   language      suv               suv.txt                 2012-08-27
   language      svm               svm.txt                 2013-09-23
   language      svr               svr.txt                 2016-06-10
   language      sxg               sxg.txt                 2018-03-20
   language      syx               syx.txt                 2015-02-18
   language      szs               szs.txt                 2017-03-03
   language      tai               tai.txt                 2009-04-07
